date,facility_id,facility_name,city,country,facility_type,latitude,longitude,size_sqm,capacity,energy_consumption_kwh,energy_cost_usd,water_usage_liters,maintenance_cost_usd,downtime_hours,occupancy_count,occupancy_pct,equipment_utilization_pct,waste_generated_kg,co2_emissions_kg,temperature_c,humidity_pct,safety_incidents,day_of_week,month,is_weekend
2025-01-01,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7845.0,1158.75,14888.3,808.26,0.2,336,67.1,88.2,835.5,4258.7,19.1,48.2,0,Wednesday,January,False
2025-01-02,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8544.3,1262.05,13796.8,1248.17,2.19,415,83.0,76.1,689.2,3949.9,21.5,54.0,0,Thursday,January,False
2025-01-03,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8502.0,1255.81,12425.9,2545.47,0.37,383,76.6,67.0,669.4,3578.8,22.1,48.3,0,Friday,January,False
2025-01-04,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4865.3,718.64,8276.9,1196.43,0.32,201,40.1,62.0,531.7,2065.9,20.0,49.2,0,Saturday,January,True
2025-01-05,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4415.8,652.25,6521.2,2080.24,2.72,197,39.5,78.7,404.3,2389.6,22.2,43.7,0,Sunday,January,True
2025-01-06,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8035.7,1186.93,11712.6,669.08,0.82,381,76.1,72.6,956.4,3851.8,21.0,57.2,0,Monday,January,False
2025-01-07,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7992.1,1180.48,14192.9,2994.13,0.89,391,78.1,75.6,885.0,2963.2,19.2,43.0,0,Tuesday,January,False
2025-01-08,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7796.8,1151.64,14386.3,2011.89,2.54,371,74.1,76.5,817.0,3456.0,22.2,41.9,0,Wednesday,January,False
2025-01-09,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,6942.7,1025.48,14787.6,1790.04,1.73,269,53.8,82.0,822.1,3728.0,18.3,54.0,0,Thursday,January,False
2025-01-10,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8680.5,1282.17,14499.5,1840.8,1.63,376,75.2,85.9,608.2,4110.3,19.4,37.6,0,Friday,January,False
2025-01-11,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4725.9,698.05,8395.7,2100.61,3.41,177,35.3,79.4,436.6,2062.2,19.5,35.8,0,Saturday,January,True
2025-01-12,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4082.9,603.07,7909.2,811.19,0.49,202,40.4,75.0,513.4,2251.9,20.6,45.6,0,Sunday,January,True
2025-01-13,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7940.6,1172.88,13439.4,1729.02,2.12,323,64.5,78.2,848.6,3663.2,21.3,45.0,0,Monday,January,False
2025-01-14,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7767.3,1147.28,13469.3,1332.85,1.21,322,64.4,74.8,787.7,3272.1,21.1,43.9,0,Tuesday,January,False
2025-01-15,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7766.9,1147.22,13210.0,707.89,1.43,422,84.3,62.6,967.6,3654.0,19.8,50.0,0,Wednesday,January,False
2025-01-16,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7050.5,1041.41,13800.2,2330.73,2.74,363,72.7,88.2,748.5,3866.0,18.9,40.5,0,Thursday,January,False
2025-01-17,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7764.2,1146.82,12267.7,1518.73,1.68,360,72.1,86.5,698.3,3834.6,16.5,45.4,0,Friday,January,False
2025-01-18,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4585.8,677.35,7579.6,1879.29,1.71,216,43.3,96.6,433.2,1884.4,17.2,43.3,0,Saturday,January,True
2025-01-19,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,5094.4,752.48,7309.5,2393.68,2.27,199,39.8,99.3,472.1,2010.2,21.7,40.7,0,Sunday,January,True
2025-01-20,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8199.5,1211.12,13644.5,1529.23,0.78,454,90.9,67.0,571.5,4440.5,16.2,44.9,0,Monday,January,False
2025-01-21,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8049.4,1188.95,13615.0,2929.69,1.13,365,73.0,74.9,802.8,3407.1,17.7,49.5,0,Tuesday,January,False
2025-01-22,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7725.2,1141.06,10679.7,1703.6,0.28,389,77.8,100.0,863.5,3892.2,20.5,55.9,0,Wednesday,January,False
2025-01-23,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7666.5,1132.39,12299.1,787.68,0.89,412,82.4,77.6,738.8,3166.6,19.0,48.2,0,Thursday,January,False
2025-01-24,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8385.3,1238.56,13108.8,1489.51,3.29,435,87.1,80.3,897.7,3926.5,20.0,32.8,0,Friday,January,False
2025-01-25,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4429.7,654.3,7224.0,2035.24,0.01,191,38.2,63.8,464.2,1904.8,19.4,45.2,0,Saturday,January,True
2025-01-26,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4178.0,617.13,7389.7,2055.16,0.92,198,39.6,79.4,559.5,2084.1,20.7,45.7,0,Sunday,January,True
2025-01-27,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7396.7,1092.54,13450.4,1072.74,0.87,423,84.6,96.1,683.2,3344.7,18.8,50.2,0,Monday,January,False
2025-01-28,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7785.6,1149.98,14692.5,2295.79,1.47,406,81.1,90.0,865.8,3743.6,19.3,46.5,0,Tuesday,January,False
2025-01-29,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7593.2,1121.57,13400.8,663.45,2.0,416,83.1,72.3,652.4,3427.9,17.1,51.9,0,Wednesday,January,False
2025-01-30,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7824.5,1155.73,12718.5,2425.93,2.05,324,64.8,74.3,583.3,3469.8,19.0,47.6,1,Thursday,January,False
2025-01-31,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7702.6,1137.72,11351.6,932.35,0.55,433,86.7,67.4,534.8,3757.5,17.5,53.5,0,Friday,January,False
2025-02-01,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4386.5,647.91,6361.7,1595.08,0.98,191,38.1,70.0,457.6,1940.0,17.3,43.6,0,Saturday,February,True
